Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2023-08-12,12:30,Matchweek 1,Sat,Away,L,1,2,Arsenal,1.2,0.8,22,59984,Joe Worrall,3-4-3,4-3-3,Michael Oliver,Match Report,
2023-08-18,19:45,Matchweek 2,Fri,Home,W,2,1,Sheffield Utd,1.4,0.5,50,29432,Joe Worrall,3-4-3,3-4-3,Peter Bankes,Match Report,
2023-08-26,15:00,Matchweek 3,Sat,Away,L,2,3,Manchester Utd,1.2,2.8,34,73595,Joe Worrall,3-4-3,4-2-3-1,Stuart Attwell,Match Report,
2023-09-02,15:00,Matchweek 4,Sat,Away,W,1,0,Chelsea,0.8,2.3,25,39820,Joe Worrall,3-4-3,3-4-3,Tim Robinson,Match Report,
2023-09-18,19:45,Matchweek 5,Mon,Home,D,1,1,Burnley,0.7,0.5,46,28958,Joe Worrall,4-2-3-1,4-2-3-1,Robert Jones,Match Report,
2023-09-23,15:00,Matchweek 6,Sat,Away,L,0,2,Manchester City,1.0,1.3,43,53413,Serge Aurier,5-4-1,4-2-3-1,Anthony Taylor,Match Report,
2023-10-01,14:00,Matchweek 7,Sun,Home,D,1,1,Brentford,0.5,1.6,41,29004,Serge Aurier,4-3-3,4-3-3,Paul Tierney,Match Report,
2023-10-07,17:30,Matchweek 8,Sat,Away,D,0,0,Crystal Palace,1.0,0.8,48,25017,Serge Aurier,4-3-3,4-3-3,Craig Pawson,Match Report,
2023-10-21,15:00,Matchweek 9,Sat,Home,D,2,2,Luton Town,2.9,1.7,57,29361,Serge Aurier,4-3-3,4-4-2,Samuel Barrott,Match Report,
2023-10-29,14:00,Matchweek 10,Sun,Away,L,0,3,Liverpool,0.4,3.2,28,50143,Serge Aurier,5-4-1,4-3-3,Chris Kavanagh,Match Report,
2023-11-05,14:00,Matchweek 11,Sun,Home,W,2,0,Aston Villa,0.4,1.2,27,29313,Morgan Gibbs-White,4-3-3,4-4-2,Jarred Gillett,Match Report,
2023-11-12,14:00,Matchweek 12,Sun,Away,L,2,3,West Ham,1.7,1.8,46,62470,Morgan Gibbs-White,4-3-3,4-2-3-1,Michael Salisbury,Match Report,
2023-11-25,15:00,Matchweek 13,Sat,Home,L,2,3,Brighton,1.9,1.3,47,29404,Morgan Gibbs-White,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,
2023-12-02,17:30,Matchweek 14,Sat,Home,L,0,1,Everton,0.7,0.7,61,29404,Ryan Yates,4-3-3,4-4-1-1,Paul Tierney,Match Report,
2023-12-06,19:30,Matchweek 15,Wed,Away,L,0,5,Fulham,0.3,2.5,37,24105,Felipe,4-2-3-1,4-2-3-1,Joshua Smith,Match Report,
2023-12-09,15:00,Matchweek 16,Sat,Away,D,1,1,Wolves,1.3,1.2,32,31543,Ryan Yates,3-5-2,3-4-3,Samuel Barrott,Match Report,
2023-12-15,20:00,Matchweek 17,Fri,Home,L,0,2,Tottenham,1.3,1.5,34,29296,Ryan Yates,3-5-2,4-2-3-1,Jarred Gillett,Match Report,
2023-12-23,15:00,Matchweek 18,Sat,Home,L,2,3,Bournemouth,1.0,1.6,34,29188,Ryan Yates,4-2-3-1,4-2-3-1,Robert Jones,Match Report,
2023-12-26,12:30,Matchweek 19,Tue,Away,W,3,1,Newcastle Utd,3.5,2.4,38,52207,Morgan Gibbs-White,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,
2023-12-30,17:30,Matchweek 20,Sat,Home,W,2,1,Manchester Utd,0.7,0.8,44,29529,Ryan Yates,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,
2024-01-20,17:30,Matchweek 21,Sat,Away,L,2,3,Brentford,1.2,1.2,52,17077,Ryan Yates,4-2-3-1,3-5-2,Darren England,Match Report,
2024-01-30,19:30,Matchweek 22,Tue,Home,L,1,2,Arsenal,0.5,1.2,27,29387,Morgan Gibbs-White,4-2-3-1,4-3-3,Simon Hooper,Match Report,
2024-02-04,14:00,Matchweek 23,Sun,Away,D,1,1,Bournemouth,0.5,1.3,55,11200,Ryan Yates,4-2-3-1,4-2-3-1,Rebecca Welch,Match Report,
